"sampleID","patient","type","A1BG"
"TCGA-75-7031-01A","TCGA-75-7031","tumor",17.2043
"TCGA-78-7143-01A","TCGA-78-7143","tumor",102.8983
"TCGA-78-7145-01A","TCGA-78-7145","tumor",150.659
"TCGA-78-7146-01A","TCGA-78-7146","tumor",57.4279
"TCGA-78-7147-01A","TCGA-78-7147","tumor",94.4044
"TCGA-78-7148-01A","TCGA-78-7148","tumor",19.1438
"TCGA-78-7149-01A","TCGA-78-7149","tumor",257.6399
"TCGA-78-7150-01A","TCGA-78-7150","tumor",36.1446
"TCGA-78-7152-01A","TCGA-78-7152","tumor",150.6592
"TCGA-78-7153-01A","TCGA-78-7153","tumor",35.5236
"TCGA-78-7154-01A","TCGA-78-7154","tumor",56.9966
"TCGA-78-7155-01A","TCGA-78-7155","tumor",146.3368
"TCGA-78-7156-01A","TCGA-78-7156","tumor",55.2239
"TCGA-78-7158-01A","TCGA-78-7158","tumor",38.4149
"TCGA-78-7159-01A","TCGA-78-7159","tumor",317.0303
"TCGA-78-7160-01A","TCGA-78-7160","tumor",39.3123
"TCGA-78-7161-01A","TCGA-78-7161","tumor",97.35
"TCGA-78-7162-01A","TCGA-78-7162","tumor",76.03
"TCGA-78-7163-01A","TCGA-78-7163","tumor",2.3966
"TCGA-78-7166-01A","TCGA-78-7166","tumor",102.8132
"TCGA-78-7167-01A","TCGA-78-7167","tumor",220.4517
"TCGA-78-7220-01A","TCGA-78-7220","tumor",10.1609
"TCGA-78-7535-01A","TCGA-78-7535","tumor",518.85
"TCGA-78-7536-01A","TCGA-78-7536","tumor",137.7303
"TCGA-78-7537-01A","TCGA-78-7537","tumor",74.0335
"TCGA-78-7539-01A","TCGA-78-7539","tumor",120.8748
"TCGA-78-7540-01A","TCGA-78-7540","tumor",24.4673
"TCGA-78-7542-01A","TCGA-78-7542","tumor",24.1344
"TCGA-78-7633-01A","TCGA-78-7633","tumor",87.5068
"TCGA-78-8640-01A","TCGA-78-8640","tumor",103.2414
"TCGA-78-8648-01A","TCGA-78-8648","tumor",213.0023
"TCGA-78-8655-01A","TCGA-78-8655","tumor",168.8347
