"sampleID","patient","type","A2BP1"
"TCGA-62-8395-01A","TCGA-62-8395","tumor",0
"TCGA-62-8397-01A","TCGA-62-8397","tumor",0
"TCGA-62-8398-01A","TCGA-62-8398","tumor",0
"TCGA-62-8399-01A","TCGA-62-8399","tumor",0
"TCGA-62-8402-01A","TCGA-62-8402","tumor",0
"TCGA-62-A46O-01A","TCGA-62-A46O","tumor",0
"TCGA-62-A46P-01A","TCGA-62-A46P","tumor",113.5338
"TCGA-62-A46R-01A","TCGA-62-A46R","tumor",0
"TCGA-62-A46S-01A","TCGA-62-A46S","tumor",0
"TCGA-62-A46U-01A","TCGA-62-A46U","tumor",1.6441
"TCGA-62-A46V-01A","TCGA-62-A46V","tumor",0
"TCGA-62-A46Y-01A","TCGA-62-A46Y","tumor",0.5013
"TCGA-62-A470-01A","TCGA-62-A470","tumor",0
"TCGA-62-A471-01A","TCGA-62-A471","tumor",0
"TCGA-62-A472-01A","TCGA-62-A472","tumor",0
"TCGA-64-1676-01A","TCGA-64-1676","tumor",0.6929
"TCGA-64-1677-01A","TCGA-64-1677","tumor",4.3764
"TCGA-64-1678-01A","TCGA-64-1678","tumor",0.9365
"TCGA-64-1679-01A","TCGA-64-1679","tumor",0.2902
"TCGA-64-1680-01A","TCGA-64-1680","tumor",0
"TCGA-64-1681-01A","TCGA-64-1681","tumor",1.8072
"TCGA-64-5774-01A","TCGA-64-5774","tumor",12.1666
"TCGA-64-5775-01A","TCGA-64-5775","tumor",0.4641
"TCGA-64-5778-01A","TCGA-64-5778","tumor",0
"TCGA-64-5779-01A","TCGA-64-5779","tumor",225.0409
"TCGA-64-5781-01A","TCGA-64-5781","tumor",0
"TCGA-64-5815-01A","TCGA-64-5815","tumor",0
"TCGA-67-3770-01A","TCGA-67-3770","tumor",0
"TCGA-67-3771-01A","TCGA-67-3771","tumor",13.0293
"TCGA-67-3772-01A","TCGA-67-3772","tumor",68.8202
"TCGA-67-3773-01A","TCGA-67-3773","tumor",0
"TCGA-67-3774-01A","TCGA-67-3774","tumor",0
"TCGA-67-6215-01A","TCGA-67-6215","tumor",0
"TCGA-67-6216-01A","TCGA-67-6216","tumor",7.0723
"TCGA-67-6217-01A","TCGA-67-6217","tumor",0
"TCGA-69-7760-01A","TCGA-69-7760","tumor",0
"TCGA-69-7761-01A","TCGA-69-7761","tumor",0
"TCGA-69-7763-01A","TCGA-69-7763","tumor",0
"TCGA-69-7764-01A","TCGA-69-7764","tumor",0
"TCGA-69-7765-01A","TCGA-69-7765","tumor",0.6242
"TCGA-69-7973-01A","TCGA-69-7973","tumor",226.5346
"TCGA-69-7974-01A","TCGA-69-7974","tumor",0
"TCGA-69-7978-01A","TCGA-69-7978","tumor",0.6725
"TCGA-69-7979-01A","TCGA-69-7979","tumor",0.2899
"TCGA-69-7980-01A","TCGA-69-7980","tumor",0
"TCGA-69-8253-01A","TCGA-69-8253","tumor",4.8571
"TCGA-69-8254-01A","TCGA-69-8254","tumor",0.7382
"TCGA-69-8255-01A","TCGA-69-8255","tumor",0.2774
"TCGA-69-8453-01A","TCGA-69-8453","tumor",0
"TCGA-69-A59K-01A","TCGA-69-A59K","tumor",0
"TCGA-71-6725-01A","TCGA-71-6725","tumor",0.312
"TCGA-71-8520-01A","TCGA-71-8520","tumor",0
"TCGA-73-4658-01A","TCGA-73-4658","tumor",0
"TCGA-73-4659-01A","TCGA-73-4659","tumor",0.6329
"TCGA-73-4662-01A","TCGA-73-4662","tumor",0.2344
"TCGA-73-4666-01A","TCGA-73-4666","tumor",0
"TCGA-73-4668-01A","TCGA-73-4668","tumor",0
"TCGA-73-4670-01A","TCGA-73-4670","tumor",0
"TCGA-73-4675-01A","TCGA-73-4675","tumor",0.3098
"TCGA-73-4676-01A","TCGA-73-4676","tumor",0
"TCGA-73-4677-01A","TCGA-73-4677","tumor",0
"TCGA-73-7498-01A","TCGA-73-7498","tumor",0
"TCGA-73-7499-01A","TCGA-73-7499","tumor",3.581
"TCGA-73-A9RS-01A","TCGA-73-A9RS","tumor",0
"TCGA-75-5122-01A","TCGA-75-5122","tumor",0
"TCGA-75-5125-01A","TCGA-75-5125","tumor",0
"TCGA-75-5126-01A","TCGA-75-5126","tumor",0
"TCGA-75-5146-01A","TCGA-75-5146","tumor",0
"TCGA-75-5147-01A","TCGA-75-5147","tumor",0.5898
"TCGA-75-6203-01A","TCGA-75-6203","tumor",1.3755
"TCGA-75-6205-01A","TCGA-75-6205","tumor",0
"TCGA-75-6206-01A","TCGA-75-6206","tumor",0
"TCGA-75-6207-01A","TCGA-75-6207","tumor",0.8791
"TCGA-75-6211-01A","TCGA-75-6211","tumor",60.4865
"TCGA-75-6212-01A","TCGA-75-6212","tumor",0.7794
"TCGA-75-6214-01A","TCGA-75-6214","tumor",0
"TCGA-75-7025-01A","TCGA-75-7025","tumor",24.9622
"TCGA-75-7027-01A","TCGA-75-7027","tumor",0
"TCGA-75-7030-01A","TCGA-75-7030","tumor",0
"TCGA-75-7031-01A","TCGA-75-7031","tumor",0
"TCGA-78-7143-01A","TCGA-78-7143","tumor",0
"TCGA-78-7145-01A","TCGA-78-7145","tumor",0
"TCGA-78-7146-01A","TCGA-78-7146","tumor",0
"TCGA-78-7147-01A","TCGA-78-7147","tumor",0
"TCGA-78-7148-01A","TCGA-78-7148","tumor",0
"TCGA-78-7149-01A","TCGA-78-7149","tumor",0
"TCGA-78-7150-01A","TCGA-78-7150","tumor",0.5737
"TCGA-78-7152-01A","TCGA-78-7152","tumor",0
"TCGA-78-7153-01A","TCGA-78-7153","tumor",0
"TCGA-78-7154-01A","TCGA-78-7154","tumor",72.0345
"TCGA-78-7155-01A","TCGA-78-7155","tumor",0
"TCGA-78-7156-01A","TCGA-78-7156","tumor",0
"TCGA-78-7158-01A","TCGA-78-7158","tumor",424.0664
"TCGA-78-7159-01A","TCGA-78-7159","tumor",292.562
"TCGA-78-7160-01A","TCGA-78-7160","tumor",0
"TCGA-78-7161-01A","TCGA-78-7161","tumor",0
"TCGA-78-7162-01A","TCGA-78-7162","tumor",0
"TCGA-78-7163-01A","TCGA-78-7163","tumor",1.0271
"TCGA-78-7166-01A","TCGA-78-7166","tumor",0
"TCGA-78-7167-01A","TCGA-78-7167","tumor",0
"TCGA-78-7220-01A","TCGA-78-7220","tumor",0
"TCGA-78-7535-01A","TCGA-78-7535","tumor",0
"TCGA-78-7536-01A","TCGA-78-7536","tumor",0
"TCGA-78-7537-01A","TCGA-78-7537","tumor",0
"TCGA-78-7539-01A","TCGA-78-7539","tumor",0
"TCGA-78-7540-01A","TCGA-78-7540","tumor",0
"TCGA-78-7542-01A","TCGA-78-7542","tumor",0
"TCGA-78-7633-01A","TCGA-78-7633","tumor",0
"TCGA-78-8640-01A","TCGA-78-8640","tumor",1.7505
"TCGA-78-8648-01A","TCGA-78-8648","tumor",0
"TCGA-78-8655-01A","TCGA-78-8655","tumor",0
"TCGA-78-8660-01A","TCGA-78-8660","tumor",0
"TCGA-78-8662-01A","TCGA-78-8662","tumor",0
"TCGA-80-5607-01A","TCGA-80-5607","tumor",1.6273
"TCGA-80-5608-01A","TCGA-80-5608","tumor",21.2786
"TCGA-80-5611-01A","TCGA-80-5611","tumor",0
"TCGA-83-5908-01A","TCGA-83-5908","tumor",0
"TCGA-86-6562-01A","TCGA-86-6562","tumor",0
"TCGA-86-6851-01A","TCGA-86-6851","tumor",0
"TCGA-86-7701-01A","TCGA-86-7701","tumor",4.215
"TCGA-86-7711-01A","TCGA-86-7711","tumor",0
"TCGA-86-7713-01A","TCGA-86-7713","tumor",0
"TCGA-86-7714-01A","TCGA-86-7714","tumor",46.0526
"TCGA-86-7953-01A","TCGA-86-7953","tumor",0.2954
"TCGA-86-7954-01A","TCGA-86-7954","tumor",0
"TCGA-86-7955-01A","TCGA-86-7955","tumor",0
"TCGA-86-8054-01A","TCGA-86-8054","tumor",96.2451
"TCGA-86-8055-01A","TCGA-86-8055","tumor",0
"TCGA-86-8056-01A","TCGA-86-8056","tumor",0
"TCGA-86-8073-01A","TCGA-86-8073","tumor",0
"TCGA-86-8074-01A","TCGA-86-8074","tumor",0
"TCGA-86-8075-01A","TCGA-86-8075","tumor",0.2857
"TCGA-86-8076-01A","TCGA-86-8076","tumor",0
"TCGA-86-8278-01A","TCGA-86-8278","tumor",0
"TCGA-86-8279-01A","TCGA-86-8279","tumor",2.6667
"TCGA-86-8280-01A","TCGA-86-8280","tumor",6.9066
"TCGA-86-8281-01A","TCGA-86-8281","tumor",0
"TCGA-86-8358-01A","TCGA-86-8358","tumor",0
"TCGA-86-8359-01A","TCGA-86-8359","tumor",0
"TCGA-86-8585-01A","TCGA-86-8585","tumor",0
"TCGA-86-8668-01A","TCGA-86-8668","tumor",0
"TCGA-86-8669-01A","TCGA-86-8669","tumor",0
"TCGA-86-8671-01A","TCGA-86-8671","tumor",0.551
"TCGA-86-8672-01A","TCGA-86-8672","tumor",0
"TCGA-86-8673-01A","TCGA-86-8673","tumor",0
"TCGA-86-8674-01A","TCGA-86-8674","tumor",0
"TCGA-86-A456-01A","TCGA-86-A456","tumor",0
"TCGA-86-A4D0-01A","TCGA-86-A4D0","tumor",15.8213
"TCGA-86-A4JF-01A","TCGA-86-A4JF","tumor",0.8859
"TCGA-86-A4P7-01A","TCGA-86-A4P7","tumor",0
"TCGA-86-A4P8-01A","TCGA-86-A4P8","tumor",0.4558
"TCGA-91-6828-01A","TCGA-91-6828","tumor",0
"TCGA-91-6829-01A","TCGA-91-6829","tumor",0.5163
"TCGA-91-6830-01A","TCGA-91-6830","tumor",0
"TCGA-91-6831-01A","TCGA-91-6831","tumor",0
"TCGA-91-6835-01A","TCGA-91-6835","tumor",0
"TCGA-91-6836-01A","TCGA-91-6836","tumor",0
"TCGA-91-6840-01A","TCGA-91-6840","tumor",0
"TCGA-91-6847-01A","TCGA-91-6847","tumor",35.6408
"TCGA-91-6848-01A","TCGA-91-6848","tumor",5.8623
"TCGA-91-6849-01A","TCGA-91-6849","tumor",0
"TCGA-91-7771-01A","TCGA-91-7771","tumor",4.5714
"TCGA-91-8496-01A","TCGA-91-8496","tumor",2.3232
"TCGA-91-8497-01A","TCGA-91-8497","tumor",29.1246
"TCGA-91-8499-01A","TCGA-91-8499","tumor",46.0789
"TCGA-91-A4BC-01A","TCGA-91-A4BC","tumor",14.3603
"TCGA-91-A4BD-01A","TCGA-91-A4BD","tumor",8.7668
"TCGA-93-7347-01A","TCGA-93-7347","tumor",125.0971
"TCGA-93-7348-01A","TCGA-93-7348","tumor",3.3022
"TCGA-93-8067-01A","TCGA-93-8067","tumor",0.2848
"TCGA-93-A4JN-01A","TCGA-93-A4JN","tumor",15.7938
"TCGA-93-A4JO-01A","TCGA-93-A4JO","tumor",0
"TCGA-93-A4JP-01A","TCGA-93-A4JP","tumor",1.5899
"TCGA-93-A4JQ-01A","TCGA-93-A4JQ","tumor",1.7437
"TCGA-95-7039-01A","TCGA-95-7039","tumor",0
"TCGA-95-7043-01A","TCGA-95-7043","tumor",0
"TCGA-95-7562-01A","TCGA-95-7562","tumor",0
"TCGA-95-7567-01A","TCGA-95-7567","tumor",0
"TCGA-95-7944-01A","TCGA-95-7944","tumor",0
"TCGA-95-7947-01A","TCGA-95-7947","tumor",0.3056
"TCGA-95-7948-01A","TCGA-95-7948","tumor",0.6579
"TCGA-95-8039-01A","TCGA-95-8039","tumor",0.3854
"TCGA-95-8494-01A","TCGA-95-8494","tumor",0
"TCGA-95-A4VK-01A","TCGA-95-A4VK","tumor",0
"TCGA-95-A4VN-01A","TCGA-95-A4VN","tumor",0
"TCGA-95-A4VP-01A","TCGA-95-A4VP","tumor",80.7234
"TCGA-97-7546-01A","TCGA-97-7546","tumor",6.263
"TCGA-97-7547-01A","TCGA-97-7547","tumor",150.1258
"TCGA-97-7552-01A","TCGA-97-7552","tumor",0
"TCGA-97-7553-01A","TCGA-97-7553","tumor",0
"TCGA-97-7554-01A","TCGA-97-7554","tumor",0
